,imdb_title_id,title,original_title,year,date_published,genre,duration,country,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,lead_director,lead_writer
67628,tt2516610,20 Ft Below: The Darkness Descending,20 Ft Below: The Darkness Descending,2014,2016-01-21,Thriller,91,USA,2.6,543,0,2.6,543,3.4,3.0,2.9,Danny Trejo,Marc Clebanoff,Danny Trejo
67629,tt2516720,Susie Q,Susie Q,2016,2016-04-28,"Crime, Drama",75,USA,7.4,110,0,7.4,110,7.9,8.5,6.4,Anthony Robles,Vilan Trub,Anthony Robles
67632,tt2517298,Stomping Ground,Stomping Ground,2014,2015-12-24,"Comedy, Drama, Mystery",80,USA,4.9,239,100000,4.9,239,5.4,5.0,4.7,Thad Bateman,Dan Riesser,Thad Bateman
67638,tt2518370,The One I Wrote for You,The One I Wrote for You,2014,2014-12-05,"Drama, Family, Music",110,USA,6.0,290,0,6.0,290,6.5,7.0,6.2,Cheyenne Jackson,Andrew Lauer,Cheyenne Jackson
67639,tt2518848,Mega Tornado,500 MPH Storm,2013,2013-11-01,"Action, Adventure, Drama",86,USA,2.2,1870,300000,2.2,1870,2.7,2.0,2.8,Casper Van Dien,Daniel Lusko,Casper Van Dien
67640,tt2518926,Age of Dinosaurs,Age of Dinosaurs,2013,2015-10-08,"Action, Adventure, Sci-Fi",88,USA,2.8,2223,0,2.8,2223,3.4,3.0,2.9,Treat Williams,Joseph J. Lawson,Treat Williams
67642,tt2520306,Glitch,Glitch,2015,2015-07-07,"Comedy, Drama, Romance",93,USA,5.3,141,0,5.3,141,6.0,6.0,5.3,Lucas Neff,Daniel Doherty II,Lucas Neff
67644,tt2520394,See You Next Tuesday,See You Next Tuesday,2013,2014-08-22,"Comedy, Drama",82,USA,6.5,157,0,6.5,157,6.8,7.0,6.3,Eleanore Pienta,Drew Tobia,Eleanore Pienta
67646,tt2520578,Mike Case in: The Big Kiss Off,Mike Case in: The Big Kiss Off,2013,2013-06-15,Comedy,76,USA,6.8,251,255000,6.8,251,7.1,8.0,7.6,Scott Ganyo,Justin Baird,Scott Ganyo
67647,tt2520678,Atlantis: The Last Days of Kaptara,Atlantis: The Last Days of Kaptara,2013,2013-01-01,"Animation, Adventure, Fantasy",94,USA,5.0,144,0,5.0,144,6.2,6.0,6.6,Jonathan Lipow,Lani Minella,Jonathan Lipow
67649,tt2521404,The Book of Esther,The Book of Esther,2013,2013-06-11,Drama,90,USA,4.2,958,0,4.2,958,4.8,4.5,5.3,Jen Lilley,David A.R. White,Jen Lilley
67650,tt2521436,Preston Castle,Preston Castle,2014,2014-10-07,Horror,83,USA,6.3,1045,3400000,6.3,1045,8.2,9.0,3.9,Mackenzie Firgens,Martin Rosenberg,Mackenzie Firgens
67655,tt2523096,Needlestick,Needlestick,2017,2017-02-21,"Horror, Thriller",85,USA,3.5,273,0,3.5,273,4.0,3.0,3.7,Lance Henriksen,Steven Karageanes,Lance Henriksen
67656,tt2523426,Ditch,Ditch,2016,2016,"Horror, Thriller",77,USA,3.4,302,0,3.4,302,3.8,3.0,3.4,Bill Oberst Jr.,Joe Hendrick,Bill Oberst Jr.
67659,tt2523756,Lily & Kat,Lily & Kat,2015,2015-03-20,"Comedy, Drama",89,USA,4.7,585,0,4.7,585,5.1,5.0,4.9,Jessica Rothe,Micael Preysler,Jessica Rothe
67660,tt2523832,A Girl Like Her,A Girl Like Her,2015,2015-03-27,Drama,91,USA,7.0,6650,0,7.0,6650,7.4,7.0,7.2,Hunter King,Amy S. Weber,Hunter King
67665,tt2525156,Kantemir,Kantemir,2015,2015-08-25,"Horror, Thriller",84,USA,3.4,409,0,3.4,409,3.9,3.0,3.6,Robert Englund,Ben Samuels,Robert Englund
67666,tt2525450,Badass Showdown,Badass Showdown,2013,2013-04-02,"Action, Drama",76,USA,2.2,158,1000000,2.2,158,3.1,1.0,3.8,Cynthia Rothrock,David DeCoteau,Cynthia Rothrock
67673,tt2527186,All Cheerleaders Die,All Cheerleaders Die,2013,2014-05-08,"Comedy, Fantasy, Horror",89,USA,5.1,8112,0,5.1,8112,5.3,5.0,5.5,Sidney Allison,Lucky McKee,Sidney Allison
67676,tt2527336,Star Wars - Gli ultimi Jedi,Star Wars: Episode VIII - The Last Jedi,2017,2017-12-13,"Action, Adventure, Fantasy",152,USA,7.0,547797,317000000,7.0,547797,6.7,7.0,7.5,Mark Hamill,Rian Johnson,Mark Hamill
