,writer_number,lead_writer
1048,1048,Paul Collett
1049,1049,Pete Docter
1050,1050,Mark Harris
1051,1051,Peter Baynham
1052,1052,Jay Anthony White
1053,1053,Brad Ingelsby
1054,1054,Angela Robinson
1055,1055,Chuck Hayward
1056,1056,Drew Barnhardt
1057,1057,Jeremy Garelick
1058,1058,Carl Ellsworth
1059,1059,Mike Birbiglia
1060,1060,Jorge Ameer
1061,1061,Christina Hodson
1062,1062,Kevan Peterson
1063,1063,Mark Famiglietti
1064,1064,Tim Macy
1065,1065,Cormac Wibberley
1066,1066,Bill Kelly
1067,1067,Diane Bell
1068,1068,Jon Favreau
1069,1069,Marti Noxon
1070,1070,Ward Roberts
1071,1071,Maggie Kiley
1072,1072,Tom Quinn
1073,1073,Aric Cushing
1074,1074,Brian Cunningham
1075,1075,Nicholas Barton
1076,1076,Scott A. Peterson
1077,1077,John Turturro
1078,1078,Michael J. Saul
1079,1079,Todd E. Freeman
1080,1080,Linas Phillips
1081,1081,Bryan Binder
1082,1082,Jessica O'Toole
1083,1083,Chris LaMont
1084,1084,Sean Dwyer
1085,1085,Prince Bagdasarian
1086,1086,Sterlin Harjo
1087,1087,Jon Keeyes
1088,1088,Eliza Hittman
