,year,duration,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,month,production_number,lead_number,support_number,director_number,writer_number
9768,2015,101,3.0,3345,1500000,3.0,3345,3.3,3.0,11,5847,4335,6068,6524,6343
9769,2014,108,6.5,349,0,6.5,349,6.7,7.0,02,4242,3845,2646,4026,4305
9770,2014,319,7.0,167,0,7.0,167,7.2,8.0,02,4431,4853,2132,6334,2564
9771,2014,93,5.3,248,0,5.3,248,6.6,7.0,10,1271,6075,934,1064,1571
9772,2016,77,5.3,298,14000,5.3,298,6.7,7.0,09,1271,5796,7662,1064,7379
9773,2014,85,5.1,186,0,5.1,186,7.1,8.0,01,827,3399,5082,3585,1113
9774,2017,91,6.9,175,75000,6.9,175,7.5,8.0,03,827,4127,1705,5830,1113
9775,2016,80,4.1,233,0,4.1,233,4.5,4.0,08,3834,1356,4584,2136,5344
9776,2014,75,3.5,308,0,3.5,308,3.9,4.0,03,3703,2519,4214,5773,5900
9777,2016,90,5.3,202,0,5.3,202,5.8,6.0,02,5130,5242,1855,3349,4106
9778,2015,84,3.1,242,1000000,3.1,242,4.3,3.0,0,3892,6234,1747,5431,2609
9779,2014,91,3.4,174,25000,3.4,174,3.8,3.0,0,5481,6307,7296,6974,7879
9780,2016,107,3.5,135,0,3.5,135,4.1,3.0,12,2687,6785,1249,6908,6963
9781,2016,92,3.6,707,0,3.6,707,4.4,4.0,01,2568,895,6031,2486,6836
9782,2014,89,3.1,248,0,3.1,248,4.3,3.0,10,1612,4026,3789,4871,2803
9783,2014,88,5.8,939,800000,5.8,939,5.8,6.0,09,2723,3198,4120,3416,730
9784,2014,93,4.1,5439,800000,4.1,5439,5.8,6.0,09,2012,1158,4878,2168,730
9785,2014,96,4.3,214,0,4.3,214,5.1,5.0,06,2599,6438,6854,6327,5350
9786,2016,77,4.6,132,0,4.6,132,5.1,5.0,10,1722,2521,5408,2581,2277
9787,2014,97,4.7,545,0,4.7,545,4.9,5.0,0,4928,1958,3464,6852,6951
9788,2016,88,4.0,240,0,4.0,240,4.8,4.0,08,3802,2995,2861,5076,7674
9789,2015,98,4.3,113,50000,4.3,113,4.5,4.0,08,1832,3756,5629,4175,1695
9790,2015,86,2.9,164,0,2.9,164,3.7,3.0,04,4737,6291,7595,4516,6763
9791,2020,92,7.7,112,0,7.7,112,8.1,8.0,03,6070,4511,4020,4818,2993
9792,2016,86,3.8,168,400000,3.8,168,5.8,5.0,04,5750,1127,7530,5054,5087
9793,2018,118,3.8,554,0,3.8,554,6.1,7.0,07,5665,1127,2003,1824,3808
9794,2015,104,2.9,262,1500,2.9,262,3.6,3.0,07,4989,6589,7607,3677,3611
9795,2019,105,2.4,103,0,2.4,103,3.2,2.0,02,3881,4721,6496,6842,6883
9796,2015,90,5.6,624,0,5.6,624,5.6,6.0,12,2818,4403,7625,4796,4435
9797,2019,80,3.3,102,0,3.3,102,4.1,3.5,07,3858,3142,3262,2244,7412
9798,2016,93,3.8,120,500000,3.8,120,4.5,4.0,0,187,3361,2083,1191,7328
9799,2017,92,4.5,397,0,4.5,397,4.9,5.0,05,187,6829,2143,6844,6664
9800,2018,88,4.8,732,0,4.8,732,5.0,5.0,03,503,4797,5137,3632,7206
