,imdb_title_id,title,original_title,year,date_published,genre,duration,country,production_company,avg_vote,votes,budget,weighted_average_vote,total_votes,mean_vote,median_vote,females_allages_avg_vote,lead_actor,lead_director,lead_writer,month,production_number,actor_number,director_number,writer_number
73,tt6427854,Anna,Anna,2017,2017-03-01,Horror,97,USA,MGI Films,2.3,380,30000,2.3,380,3.0,2.0,2.5,Justin Duncan,Michael Crum,0,03,200,1148,77,0
74,tt6063014,Before I Die,Before I Die,2016,2016,Horror,142,USA,Wooden Frame Productions,5.6,233,150000,5.6,233,5.8,6.0,6.3,Robert McKeehen,The Brothers Freeman,0,0,653,622,2655,0
75,tt1777573,Ghetto Stories,Ghetto Stories,2010,2010-11-09,Drama,60,USA,Trill Entertainment,2.8,177,500000,2.8,177,6.8,9.0,3.6,Nicole Alexander,John McDougall,0,11,3249,1123,2337,0
76,tt7919372,First Lady,First Lady,2018,2018,"Action, Drama",96,USA,Dennis L. Reed II Productions,4.7,158,30000,4.7,158,6.3,7.0,6.2,Nicole Alexander,Dennis L. Reed II,0,0,4703,1123,5804,0
77,tt2028457,Antfarm Dickhole,Antfarm Dickhole,2011,2011-11-21,Horror,85,USA,Bill Zebub Productions,2.6,344,6000,2.6,344,4.0,2.0,2.5,Mike Nastri,Bill Zebub,0,11,179,6541,120,0
78,tt2155319,"Jesus, the Total Douchebag","Jesus, the Total Douchebag",2011,2012-02-21,Comedy,102,USA,Bill Zebub Productions,2.6,119,5000,2.6,119,3.5,1.0,3.0,Dave Brockie,Bill Zebub,0,02,179,6615,120,0
79,tt1808076,Documenting the Grey Man,Documenting the Grey Man,2011,2011-01-31,Horror,73,USA,Reserve Productions,2.4,335,32000,2.4,335,2.9,2.0,2.4,Patrick Hussion,Wayne Capps,0,01,2093,5616,2217,0
80,tt2014264,Keepsake,Keepsake,2008,2010-04-01,Horror,101,USA,Stormcatcher Films,4.7,275,0,4.7,275,5.1,5.0,4.9,Robert Pralgo,Paul Moore,0,04,6225,1487,6316,0
81,tt2086806,Bad Seeds,Bad Seeds,2013,2013-09-14,Drama,103,USA,Manic Entertainment,3.1,136,150000,3.1,136,4.3,2.0,4.9,Pisces Peden,Dana Doll,0,09,3052,3483,4710,0
82,tt2131626,Smodimations 2-D,Smodimations 2-D,2011,2011-10-18,"Animation, Comedy",58,USA,Starktoons,6.3,121,10000,6.3,121,8.0,10.0,8.0,Walter Flanagan,Steve Stark,0,10,5818,3170,1589,0
83,tt2201760,Finding Faith,Finding Faith,2013,2013-01-15,Family,104,USA,JC Films,6.1,122,100000,6.1,122,6.7,8.0,6.8,Erik Estrada,Justin Rossbacher,0,01,1642,1255,2047,0
84,tt2650548,Monster High: Friday Night Frights,Monster High: Friday Night Frights,2012,2012-07-13,Animation,46,USA,Mattel,6.9,465,0,6.9,465,7.3,7.0,7.3,Cam Clarke,Dustin Mckenzie,0,07,1187,1617,6096,0
85,tt2948606,Terms & Conditions,Terms & Conditions,2015,2015-05-26,Action,83,USA,Film Consortium San Diego,3.0,117,0,3.0,117,3.5,3.0,2.7,Mark Mikita,Anoop Rangi,0,05,819,5594,4877,0
86,tt3188492,Call of the Wolf,Call of the Wolf,2017,2017-02-07,"Drama, Thriller",105,USA,Womack Film Works,5.3,903,20000,5.3,903,6.5,7.0,7.1,Aleksander Ristic,R.D. Womack II,0,02,5797,967,1592,0
87,tt4817466,Zilla and Zoe,Zilla and Zoe,2017,2017-10-31,Comedy,104,USA,Scalise Pictures,4.7,134,0,4.7,134,5.4,5.0,5.0,Greg James,Jessica Scalise,0,10,5578,1224,4419,0
88,tt5815078,Wunderland,Wunderland,2018,2018-10-01,"Action, War",85,USA,Schuetzle Company Productions,3.3,872,3500000,3.3,872,4.3,3.0,3.5,Steven Luke,Steven Luke,0,10,403,6458,901,0
89,tt3813422,Return to Witch Graveyard,Return to Witch Graveyard,2014,2014-12-12,Horror,68,USA,Goregon Productions,6.1,176,33000,6.1,176,7.1,8.0,6.1,Rachel Wise,Reuben Rox,0,12,5645,6885,4550,0
90,tt4089412,Scent,Scent,2014,2014-10-01,"Comedy, Horror",62,USA,Hot Internet Agency,5.9,384,0,5.9,384,7.5,10.0,3.4,Alison Barnes,The Existentialist,0,10,2733,6963,2703,0
91,tt4331718,The Messenger's Box,The Messenger's Box,2015,2015-11-01,Drama,90,USA,Bojo Films,3.0,109,0,3.0,109,2.9,1.0,6.0,Luke Hodgson,Gary Bosek,0,11,3913,4938,4179,0
92,tt4723246,Where Is Good?,Where Is Good?,2015,2015-05-19,Drama,129,USA,B4 Films,4.5,112,0,4.5,112,4.8,5.0,6.4,Kelly Bartram,Ricky Burchell,0,05,4794,4781,5075,0
93,tt6034774,Loophole,Loophole,2019,2019-02-05,Drama,86,USA,Hostetler/Bromme Productions,2.3,388,0,2.3,388,3.1,2.0,2.5,Chloe Lukasiak,Jenni Ivers,0,02,5890,4632,3486,0
94,tt6251666,Followers,Followers,2017,2017-07-10,Thriller,82,USA,Justified Films / Entertainment,3.7,245,0,3.7,245,4.1,4.0,3.3,Amanda Delaney,Ryan Justice,0,07,4975,3821,3543,0
95,tt8923800,The Bachelor Party,The Bachelor Party,2018,2018-12-01,Comedy,115,USA,Hayhoe Studios,8.4,137,1000000,8.4,137,8.6,10.0,9.5,Shawn Valentino,Tremain Hayhoe,0,12,567,3139,1627,0
96,tt7227742,Plug Love,Plug Love,2017,2017-07-17,Drama,116,USA,Mula Films,6.1,371,0,6.1,371,7.2,8.0,7.0,Murda Pain,Derek Scott,0,07,2741,3473,5165,0
97,tt8041916,Time Jumpers,Time Jumpers,2018,2018-12-01,Sci-Fi,79,USA,WOWNow Entertainment,4.6,494,0,4.6,494,4.8,4.0,8.7,Samuel D. Evans,Svend Ploug Johansen,0,12,138,3562,5949,0
98,tt7321246,Double Dutchess: Seeing Double,Double Dutchess: Seeing Double,2017,2017-09-08,"Animation, Drama, Fantasy",63,USA,Dutchess Music,4.8,529,0,4.8,529,5.1,2.0,1.6,Fergie,Bruno Ilogti,0,09,1820,3508,5996,0
99,tt7334352,The Secret Garden,The Secret Garden,2017,2017-09-09,Family,90,USA,Dogwood Motion Picture Company,4.6,110,1400000,4.6,110,5.0,5.0,4.8,Glennellen Anderson,Owen Smith,0,09,2098,4640,3535,0
